seqname	start	end
chr2	156803598	156803937
chr2	157043757	157044046
chr2	161238531	161238842
chr2	161382162	161382468
chr2	161416516	161416721
chr2	162188512	162188718
chr2	163594169	163594477
chr2	163805397	163805659
chr2	163987660	163987859
chr2	170715020	170715270
chr2	171964152	171964412
chr2	171966110	171966551
chr2	172091790	172092027
chr2	172093653	172094050
chr2	173250052	173250258
chr2	173909753	173910006
chr2	174081681	174082018
chr2	174104944	174105176
chr2	174122206	174122421
chr2	174125059	174125281
chr2	174160695	174160900
chr2	174342880	174343116
chr2	176075629	176076002
chr2	176638610	176638833
chr2	236162738	236162980
chr3	9429777	9430072
chr3	18128072	18128417
chr3	18634912	18635158
chr3	18802958	18803251
chr3	18992666	18992884
chr3	70517273	70517478
chr3	70822689	70822939
chr3	70822941	70823159
chr3	114714620	114714920
chr3	114716192	114716461
chr3	114856627	114856919
chr3	114893044	114893258
chr3	137264702	137265193
chr3	137329602	137329888
chr3	137349475	137349739
chr3	137406806	137407076
chr3	147312921	147313192
chr3	147331851	147332149
chr3	152446598	152446809
chr3	158058785	158059008
chr3	158272251	158272457
chr3	158308370	158308577
chr3	158308689	158308965
chr3	158528115	158528325
chr3	169116495	169116695
chr3	169476164	169476510
chr3	180719069	180719453
chr3	185931508	185931926
chr4	4521713	4522050
chr4	13008246	13008468
chr4	24527539	24527833
chr4	41748052	41748310
chr4	75653940	75654157
chr4	82425512	82425716
chr4	104425156	104425403
chr4	110995320	110995533
chr4	150315231	150315538
chr4	150572800	150573039
chr4	150573041	150573244
chr5	3512507	3512768
chr5	32380031	32380244
chr5	51039804	51040004
chr5	72899859	72900098
chr5	72914188	72914390
chr5	77638539	77638745
chr5	77639594	77639806
chr5	77645336	77645542
chr5	77844429	77844652
chr5	77852108	77852579
chr5	77973020	77973341
chr5	78062705	78062982
chr5	81851542	81851759
chr5	87872806	87873181
chr5	87944588	87944790
chr5	88397116	88397339
chr5	88665987	88666296
chr5	88883807	88884007
chr5	91632976	91633195
chr5	93585311	93585514
chr5	93891964	93892273
chr5	94240142	94240349
chr5	94315014	94315231
chr5	134390469	134390744
chr5	139307965	139308224
chr5	158914830	158915079
chr5	167905690	167905935
chr5	170990625	170990881
chr5	170990994	170991242
chr5	171201208	171201426
chr5	171201485	171201709
chr5	171202475	171202752
chr5	171276075	171276313
chr5	171957516	171957751
chr5	173958289	173958518
chr5	178617306	178617716
chr5	179619196	179619500
chr6	10394444	10394655
chr6	16299153	16299367
chr6	36599740	36600312
chr6	41555702	41555901
chr6	51109081	51109288
chr6	51284199	51284442
chr6	85611968	85612286
chr6	93259346	93259546
chr6	97215480	97215752
chr6	97668664	97668884
chr6	97914923	97915146
chr6	98272013	98272319
chr6	98365979	98366234
chr6	98547657	98547910
chr6	99604108	99604347
chr6	100526107	100526336
chr6	163570672	163570874
chr7	1226268	1226469
chr7	20790170	20790421
chr7	20964146	20964644
chr7	21771875	21772104
chr7	23522051	23522268
chr7	23522269	23522518
chr7	26657459	26657715
chr7	26689853	26690143
chr7	27102319	27102523
chr7	27143513	27143713
chr7	31362784	31363026
chr7	42152986	42153247
chr7	50318559	50318870
chr7	54568963	54569183
chr7	70337989	70338274
chr7	70515794	70516003
chr7	97004604	97004860
chr7	97011989	97012337
chr7	114417116	114417316
chr7	114418130	114418397
chr7	114422964	114423258
chr7	114432800	114433000
chr7	114569263	114569467
chr7	114655261	114655491
chr7	115476643	115476907
chr7	115494591	115494886
chr7	115679407	115679644
chr7	115942063	115942286
chr7	122304552	122304798
chr7	151131227	151131492
chr7	157019691	157019962
chr8	25918405	25918631
chr8	37392951	37393217
chr8	52225342	52225809
chr8	52254557	52254914
chr8	59029814	59030113
chr8	64579982	64580187
chr8	64584573	64584774
chr8	65237062	65237326
chr8	76778726	76778941
chr8	104950121	104950441
chr8	105321604	105321942
chr8	118110979	118111262
chr9	969154	969514
chr9	974189	974410
chr9	8095728	8095987
chr9	13939911	13940119
chr9	15874311	15874523
chr9	16710755	16710985
chr9	17332214	17332435
chr9	23496727	23497005
chr9	23691770	23692001
chr9	23692236	23692441
chr9	37215207	37215470
chr9	37324427	37324627
chr9	77012963	77013270
chr9	78857508	78857738
chr9	79256659	79256969
chr9	81112807	81113061
chr9	83975369	83975575
chr9	83975577	83975843
chr9	105356190	105356406
chr9	106616011	106616253
chr9	122291611	122291813
chr9	122844549	122844799
chr9	123775658	123775874
chr9	125541790	125542067
chr9	125542073	125542283
chr9	125670309	125670521
chr9	125755319	125755639
chr9	125759592	125759918
chr9	125821837	125822091
chr9	125843533	125843964
chr9	125845431	125845706
chr9	125883886	125884122
chr9	125910280	125910615
chr9	125915727	125915946
chr9	132620138	132620375
chr9	137148038	137148244
chr10	49396711	49396987
chr10	49398810	49399018
chr10	68756234	68756465
chr10	75379266	75379517
chr10	75736185	75736441
chr10	75967425	75967647
chr10	76230781	76231034
chr10	76282524	76282729
chr10	76523866	76524096
chr10	96955698	96955914
chr10	100612912	100613154
chr10	100613860	100614303
chr10	100615343	100615551
chr10	100655349	100655809
chr10	100659463	100659826
chr10	100687901	100688259
chr10	100749678	100749887
chr10	100787361	100787568
chr10	100808034	100808317
chr10	101219423	101219763
chr10	101292670	101292941
chr10	101322747	101323018
chr10	101451678	101451982
chr10	101452282	101452505
chr10	101484226	101484457
chr10	101486055	101486331
chr10	101507274	101507541
chr10	112644464	112644692
chr10	118314890	118315108
chr10	118317025	118317346
chr10	119580662	119580892
chr10	123092687	123092888
chr10	123093099	123093333
chr10	125216996	125217235
chr10	129648074	129648291
chr10	129893322	129893642
chr11	8283148	8283463
chr11	8296287	8296621
chr11	15602878	15603081
chr11	16294805	16295027
chr11	16453789	16453988
chr11	30535974	30536198
chr11	31664096	31664330
chr11	31764132	31764446
chr11	31764736	31765003
chr11	31804115	31804345
chr11	32176446	32176752
chr11	66626425	66626631
chr11	83484116	83484333
chr11	116361973	116362309
chr11	124774751	124775020
chr11	131998051	131998272
chr12	16562480	16562693
chr12	24139072	24139322
chr12	41355377	41355594
chr12	53464705	53464927
chr12	53677312	53677563
chr12	53697048	53697306
chr12	53989134	53989447
chr12	54016710	54016936
chr12	54028657	54029044
chr12	54033102	54033355
chr12	54053816	54054116
chr12	106582732	106582933
chr13	71219856	71220064
chr13	71489225	71489464
chr13	71547170	71547372
chr13	71681968	71682207
chr13	72094762	72095016
chr13	72120027	72120226
chr13	72197415	72197737
chr13	78402694	78402928
chr13	94966628	94966855
chr13	97356566	97356816
chr13	112062023	112062264
chr14	25908828	25909053
chr14	26445762	26446085
chr14	26446176	26446462
chr14	28763929	28764195
chr14	28879546	28879784
chr14	29392113	29392377
chr14	30243553	30243759
chr14	30273156	30273433
chr14	30913501	30913702
chr14	33375257	33375554
chr14	33599370	33599597
chr14	33653411	33653623
chr14	33733365	33733757
chr14	35550983	35551278
chr14	35573829	35574105
chr14	36112601	36112994
chr14	37246708	37246931
chr14	37308015	37308314
chr14	45096547	45096836
chr14	45109820	45110036
chr14	79861134	79861384
chr14	96965031	96965282
chr14	97296257	97296488
chr14	97412953	97413190
chr15	35626711	35626910
chr15	36527726	36527994
chr15	36673192	36673457
chr15	36893469	36893677
chr15	37229808	37230010
chr15	41739856	41740093
chr15	57133327	57133624
chr15	67373047	67373317
chr15	67585832	67586036
chr15	67747966	67748276
chr15	70099795	70100050
chr15	74621901	74622175
chr15	96692870	96693071
chr16	24567682	24567930
chr16	49060820	49061027
chr16	49701937	49702247
chr16	49856980	49857301
chr16	50815080	50815293
chr16	51637576	51637781
chr16	52460803	52461052
chr16	53620473	53620717
chr16	54289943	54290148
chr16	55189445	55189679
chr16	59541491	59541700
chr16	69646461	69646671
chr16	69647252	69647577
chr16	72787146	72787397
chr16	73058972	73059215
chr17	36655773	36655991
chr17	36972320	36972548
chr17	36979187	36979454
chr17	39410266	39410537
chr17	40092921	40093166
chr17	48586544	48586750
chr17	48593525	48593810
chr17	48604950	48605171
chr17	58004867	58005083
chr17	58005354	58005642
chr17	64500653	64500885
chr18	25113191	25113535
chr18	25168224	25168449
chr18	25176391	25176613
chr18	25187815	25188029
chr18	25285243	25285567
chr18	26335628	26335889
chr18	26657235	26657449
chr18	32773246	32773484
chr18	36900578	36900815
chr18	37483687	37483899
chr18	37598637	37598866
chr18	37984968	37985178
chr18	38483668	38483873
chr18	47244417	47244665
chr18	55422700	55422926
chr18	55587010	55587219
chr18	74645702	74645916
chr18	74645918	74646158
chr18	74651075	74651337
chr18	74651409	74651737
chr18	74856636	74856883
chr18	74880756	74881004
chr19	8462385	8462623
chr19	30003872	30004259
chr19	30075528	30075837
chr19	30256947	30257218
chr19	30276874	30277146
chr19	30350623	30350854
chr19	30512634	30512923
chr19	31096720	31096930
chr19	31315714	31315938
chr19	31337041	31337244
chr19	41933165	41933489
chr20	4885794	4886001
chr20	35740457	35740701
chr20	43459116	43459435
chr22	19408386	19408596
chr22	35752445	35752648
chrX	21516442	21516696
chrX	24805394	24805668
chrX	24846680	24847076
chrX	24876709	24877487
chrX	24897765	24898039
chrX	24898041	24898810
chrX	24899364	24899673
chrX	24928341	24928689
chrX	24990237	24990967
chrX	24999446	24999934
chrX	24999936	25000157
chrX	25383099	25383439
chrX	41349118	41349356
chrX	41520053	41520254
chrX	71153374	71153595
chrX	71248993	71249202
chrX	71546205	71546601
chrX	82534150	82534387
chrX	103786562	103786770
chrX	123465606	123465857
chrX	123479900	123480201
chrX	124101422	124101623
chrX	124101625	124101828
chrX	140088329	140088623
chr3	17551237	17551638
